,run,lambda,mu,c,Wq,Lq
60,0,2.6666666666666665,0.8333333333333334,4,0.9745690462833939,2.6007999281816203
61,1,2.6666666666666665,0.8333333333333334,4,1.0216479281196749,2.7594710538512612
62,2,2.6666666666666665,0.8333333333333334,4,0.951365840994675,2.567448273316282
63,3,2.6666666666666665,0.8333333333333334,4,0.9197650980080606,2.4609848139035706
64,4,2.6666666666666665,0.8333333333333334,4,0.7733239083558937,2.062712638221293
65,5,2.6666666666666665,0.8333333333333334,4,0.7891591860464948,2.0728581286821206
66,6,2.6666666666666665,0.8333333333333334,4,0.9763878626606974,2.600160546654545
67,7,2.6666666666666665,0.8333333333333334,4,1.0101125050402873,2.747871028364739
68,8,2.6666666666666665,0.8333333333333334,4,0.7613181078359845,2.0362721657586427
69,9,2.6666666666666665,0.8333333333333334,4,0.7848351939296235,2.117740088099716
70,10,2.6666666666666665,0.8333333333333334,4,0.9790191798627362,2.635975300418152
71,11,2.6666666666666665,0.8333333333333334,4,0.8547339879802606,2.289832353799126
72,12,2.6666666666666665,0.8333333333333334,4,0.7905826986333367,2.080023080104313
73,13,2.6666666666666665,0.8333333333333334,4,0.8340708156152677,2.229471290139608
74,14,2.6666666666666665,0.8333333333333334,4,0.7065298992302368,1.8448361754729696
75,15,2.6666666666666665,0.8333333333333334,4,0.9195369761407487,2.4468878935105325
76,16,2.6666666666666665,0.8333333333333334,4,0.7982115281740466,2.107544504888878
77,17,2.6666666666666665,0.8333333333333334,4,0.8823254158960511,2.3565110854211446
78,18,2.6666666666666665,0.8333333333333334,4,0.865124661131187,2.3202643411538455
79,19,2.6666666666666665,0.8333333333333334,4,0.8847210835797495,2.3590306748256293
80,0,3.333333333333333,0.8333333333333334,5,0.6254764073036151,2.065626167080749
81,1,3.333333333333333,0.8333333333333334,5,0.5423166172339815,1.7786631729471447
82,2,3.333333333333333,0.8333333333333334,5,0.6318211343122814,2.0999923474310034
83,3,3.333333333333333,0.8333333333333334,5,0.7459905980651365,2.4779321032397084
84,4,3.333333333333333,0.8333333333333334,5,0.6324164134076388,2.1038386019360575
85,5,3.333333333333333,0.8333333333333334,5,0.5546663231156043,1.8210522230491408
86,6,3.333333333333333,0.8333333333333334,5,0.6502132668490114,2.1467984079959614
87,7,3.333333333333333,0.8333333333333334,5,0.8141323362235938,2.7536669385536037
88,8,3.333333333333333,0.8333333333333334,5,0.7295222253098212,2.4764847808517487
89,9,3.333333333333333,0.8333333333333334,5,0.7396826569818368,2.4934702366857624
90,10,3.333333333333333,0.8333333333333334,5,0.7541949028861515,2.554709534376362
91,11,3.333333333333333,0.8333333333333334,5,0.6200378904809813,2.080463607425378
92,12,3.333333333333333,0.8333333333333334,5,0.6343514718013458,2.095262911359853
93,13,3.333333333333333,0.8333333333333334,5,0.5960948863741186,1.9639339523072552
94,14,3.333333333333333,0.8333333333333334,5,0.6240591518999316,2.0614253809518397
